                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 0.3097,                 0.3376,                 1.0352,                  0.986,                0.98276,                0.99411,                 0.9634,                0.31547,                0.38828,                0.53764,              0.0015545,              0.0015545,              0.0015545
                     48,                0.31476,                0.34611,                 1.0355,                0.99258,                0.99425,                0.99492,                0.96092,                0.30411,                0.33614,                0.53625,              0.0015446,              0.0015446,              0.0015446
                     49,                0.31173,                0.33938,                 1.0376,                0.97742,                0.97586,                0.99301,                0.95308,                 0.3176,                0.41596,                 0.5357,              0.0015347,              0.0015347,              0.0015347
                     50,                0.30413,                0.32142,                 1.0238,                0.99183,                0.98966,                0.99481,                 0.9674,                0.27608,                0.38567,                0.48138,              0.0015248,              0.0015248,              0.0015248
                     51,                 0.3039,                0.33448,                 1.0271,                0.97256,                 0.9776,                0.99298,                0.94841,                0.32092,                0.40234,                0.55422,              0.0015149,              0.0015149,              0.0015149
                     52,                 0.2817,                0.32368,                 1.0172,                0.95452,                0.98897,                0.99282,                0.94609,                0.33859,                0.38188,                0.55449,               0.001505,               0.001505,               0.001505
                     53,                0.29182,                0.31573,                 1.0064,                0.97996,                0.97241,                0.99225,                0.95146,                0.35381,                0.38622,                0.58304,              0.0014951,              0.0014951,              0.0014951
                     54,                0.30946,                0.33241,                 1.0214,                0.97518,                0.94845,                0.98999,                0.94562,                0.34641,                0.41136,                0.56905,              0.0014852,              0.0014852,              0.0014852
                     55,                0.28882,                0.31688,                 1.0052,                0.99103,                 0.9908,                0.99464,                0.96496,                0.30262,                0.34474,                0.49931,              0.0014753,              0.0014753,              0.0014753
                     56,                0.30163,                0.32587,                 1.0193,                0.98848,                0.98602,                0.99442,                0.96343,                0.31125,                0.35498,                0.53598,              0.0014654,              0.0014654,              0.0014654
                     57,                0.28672,                0.30942,                 1.0184,                0.99817,                 0.9931,                0.99498,                0.96828,                0.30987,                0.35729,                0.52487,              0.0014555,              0.0014555,              0.0014555
                     58,                0.27629,                0.31231,                 1.0075,                0.98621,                0.98636,                0.99391,                0.96149,                0.27827,                0.34519,                0.48393,              0.0014456,              0.0014456,              0.0014456
                     59,                0.28823,                 0.3097,                 1.0161,                0.98298,                0.95172,                0.99022,                0.93911,                0.39364,                0.50204,                0.62338,              0.0014357,              0.0014357,              0.0014357
                     60,                0.28954,                0.30178,                 1.0119,                0.99351,                0.98966,                 0.9949,                0.96813,                0.28807,                0.42584,                0.51929,              0.0014258,              0.0014258,              0.0014258
                     61,                0.26406,                0.29617,                 1.0022,                0.98247,                0.94828,                0.99177,                0.94244,                0.35343,                0.45201,                0.60145,              0.0014159,              0.0014159,              0.0014159
                     62,                 0.2744,                0.29901,                 1.0059,                0.95583,                0.92874,                0.98369,                0.92592,                0.32443,                 0.4818,                0.57137,               0.001406,               0.001406,               0.001406
                     63,                0.26856,                0.29784,                 1.0044,                0.96983,                0.96081,                0.99155,                0.94754,                  0.338,                0.43703,                0.57849,              0.0013961,              0.0013961,              0.0013961
                     64,                0.25821,                0.29579,                0.99714,                0.99192,                0.98765,                0.99469,                 0.9696,                0.27461,                0.36546,                0.48229,              0.0013862,              0.0013862,              0.0013862
                     65,                0.25654,                0.29128,                0.99911,                0.99557,                 0.9931,                0.99491,                0.97435,                0.26143,                0.45332,                0.45576,              0.0013763,              0.0013763,              0.0013763
                     66,                0.27551,                0.29115,                 1.0025,                0.99082,                0.99243,                0.99472,                 0.9638,                0.28309,                0.36359,                0.49387,              0.0013664,              0.0013664,              0.0013664
                     67,                0.27158,                0.28915,                  1.005,                0.99788,                0.98966,                0.99494,                0.97049,                0.29181,                0.38026,                0.50106,              0.0013565,              0.0013565,              0.0013565
                     68,                0.26144,                0.28913,                0.99945,                0.98785,                 0.9931,                0.99474,                0.97459,                0.29557,                 0.3423,                  0.487,              0.0013466,              0.0013466,              0.0013466
                     69,                0.25186,                0.27246,                0.99463,                0.99541,                0.99767,                0.99489,                 0.9723,                0.26429,                0.32729,                0.44824,              0.0013367,              0.0013367,              0.0013367
                     70,                0.25586,                0.28231,                0.99516,                0.99703,                 0.9954,                 0.9949,                0.97391,                0.27521,                0.34216,                0.46642,              0.0013268,              0.0013268,              0.0013268
                     71,                0.25777,                0.28446,                0.99507,                0.98764,                 0.9908,                0.99461,                0.96713,                0.28435,                0.39975,                0.48115,              0.0013169,              0.0013169,              0.0013169
                     72,                0.25758,                0.27439,                0.99575,                0.98177,                0.99026,                0.99444,                0.96889,                0.28741,                0.38868,                0.47378,               0.001307,               0.001307,               0.001307
                     73,                0.25152,                0.27678,                0.99366,                0.99655,                0.99742,                0.99494,                0.96781,                0.29824,                0.30509,                0.49176,              0.0012971,              0.0012971,              0.0012971
                     74,                0.25661,                0.28284,                0.99485,                0.98969,                0.99315,                0.99465,                0.97218,                0.30006,                0.33053,                0.48661,              0.0012872,              0.0012872,              0.0012872
                     75,                0.25287,                0.27972,                 1.0026,                0.97373,                   0.98,                0.99383,                0.95507,                0.31851,                0.40349,                0.52895,              0.0012773,              0.0012773,              0.0012773
                     76,                0.25678,                0.28966,                 1.0042,                0.97297,                 0.9931,                0.99396,                0.95772,                0.28997,                0.34154,                0.48661,              0.0012674,              0.0012674,              0.0012674
                     77,                0.25224,                0.29315,                0.99037,                0.99427,                0.99733,                0.99485,                  0.969,                0.28429,                 0.3297,                0.47104,              0.0012575,              0.0012575,              0.0012575
                     78,                0.24004,                0.28124,                0.98695,                0.97359,                0.97475,                0.99284,                0.94606,                0.33742,                0.39852,                0.56765,              0.0012476,              0.0012476,              0.0012476
                     79,                0.24358,                0.28946,                0.98241,                0.99425,                0.99399,                0.99498,                0.97273,                0.28626,                0.36855,                0.47878,              0.0012377,              0.0012377,              0.0012377
                     80,                 0.2445,                0.27489,                0.99018,                0.99951,                0.99885,                  0.995,                0.96967,                 0.2852,                0.35118,                0.47969,              0.0012278,              0.0012278,              0.0012278
                     81,                0.25026,                0.27636,                0.98719,                0.98023,                0.98966,                 0.9942,                0.96782,                0.30267,                0.37236,                0.50183,              0.0012179,              0.0012179,              0.0012179
                     82,                0.24806,                 0.2729,                0.98324,                0.97813,                0.97653,                0.99309,                0.95581,                0.29285,                0.38956,                0.49287,               0.001208,               0.001208,               0.001208
                     83,                0.24145,                0.27461,                0.98755,                0.99302,                 0.9977,                0.99478,                0.97491,                0.28872,                0.32306,                 0.4738,              0.0011981,              0.0011981,              0.0011981
                     84,                0.22978,                0.25886,                0.98901,                0.99308,                 0.9977,                0.99488,                0.97543,                0.26263,                0.30217,                0.42878,              0.0011882,              0.0011882,              0.0011882
                     85,                0.22972,                0.26301,                0.97612,                0.98502,                0.99655,                0.99473,                0.97382,                0.24686,                0.32833,                0.41967,              0.0011783,              0.0011783,              0.0011783
                     86,                0.22886,                 0.2647,                0.98326,                0.95014,                0.94483,                0.98653,                0.92052,                0.35378,                0.45969,                 0.5612,              0.0011684,              0.0011684,              0.0011684
                     87,                0.23107,                0.25974,                0.98254,                 0.9873,                0.98288,                0.99447,                 0.9604,                0.33622,                0.35496,                0.55139,              0.0011585,              0.0011585,              0.0011585
                     88,                0.22635,                0.26053,                0.98103,                0.99408,                0.98736,                0.99467,                0.96979,                0.27072,                0.35804,                0.47171,              0.0011486,              0.0011486,              0.0011486
                     89,                0.23895,                0.25785,                0.97936,                0.99497,                0.99425,                0.99485,                0.96801,                0.29935,                0.36926,                0.48552,              0.0011387,              0.0011387,              0.0011387
                     90,                0.23643,                0.25922,                0.97911,                 0.9837,                0.99425,                0.99449,                0.97107,                0.27446,                0.36098,                0.44426,              0.0011288,              0.0011288,              0.0011288
                     91,                0.22322,                0.25061,                0.97392,                0.98142,                0.99655,                 0.9944,                0.96955,                0.27805,                0.35981,                0.45654,              0.0011189,              0.0011189,              0.0011189
                     92,                0.22523,                0.25076,                0.97931,                0.99476,                0.99655,                0.99484,                 0.9743,                0.26091,                0.33319,                0.42699,               0.001109,               0.001109,               0.001109
                     93,                0.22469,                0.25616,                0.97749,                  0.958,                0.95632,                0.98794,                0.92767,                 0.3509,                 0.4613,                0.55444,              0.0010991,              0.0010991,              0.0010991
                     94,                0.21889,                0.24595,                0.97081,                0.98967,                0.99103,                0.99445,                0.95917,                  0.307,                0.37068,                0.49963,              0.0010892,              0.0010892,              0.0010892
                     95,                0.23861,                0.25688,                0.97967,                 0.9903,                 0.9977,                0.99472,                 0.9754,                0.25325,                0.33351,                0.44184,              0.0010793,              0.0010793,              0.0010793
                     96,                0.22812,                0.25461,                0.97512,                  0.992,                0.99796,                0.99498,                0.97505,                 0.2691,                0.31283,                0.46459,              0.0010694,              0.0010694,              0.0010694
