                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                  1.145,                 1.0678,                 1.7746,                0.93714,                0.92226,                 0.9596,                0.76036,                0.85022,                0.91697,                 1.6138,              0.0009407,              0.0009407,              0.0009407
                    110,                 1.0976,                 1.1239,                 1.7536,                0.90912,                0.92815,                0.96788,                0.74309,                0.94799,                0.98016,                 1.6631,              0.0009308,              0.0009308,              0.0009308
                    111,                  1.245,                 1.3614,                 1.9316,                0.94686,                0.89691,                0.97869,                0.75185,                0.93609,                0.97851,                 1.6299,              0.0009209,              0.0009209,              0.0009209
                    112,                 1.1949,                 1.1552,                 1.8353,                0.93015,                0.96098,                0.98471,                0.74935,                0.96968,                0.94423,                 1.6226,               0.000911,               0.000911,               0.000911
                    113,                 1.1485,                  1.167,                 1.7885,                0.95723,                0.92297,                0.96829,                0.73342,                0.98524,                0.96276,                 1.6545,              0.0009011,              0.0009011,              0.0009011
                    114,                  1.105,                 1.0374,                 1.7108,                0.79902,                0.90169,                0.91742,                0.68629,                 1.0414,                  1.087,                 1.7696,              0.0008912,              0.0008912,              0.0008912
                    115,                 1.2998,                 1.2227,                 1.9621,                0.76429,                0.83571,                0.88409,                0.68353,                0.90764,                 1.0941,                 1.6441,              0.0008813,              0.0008813,              0.0008813
                    116,                 0.9902,                 1.0606,                 1.6776,                0.78253,                0.87629,                0.89597,                0.72155,                0.78676,                 1.0126,                 1.5101,              0.0008714,              0.0008714,              0.0008714
                    117,                  1.146,                 1.3174,                 1.7358,                0.88938,                0.92784,                0.94574,                0.76674,                 0.7978,                0.89253,                 1.4945,              0.0008615,              0.0008615,              0.0008615
                    118,                 1.0241,                 1.0116,                 1.7439,                0.93524,                0.89337,                0.93432,                  0.728,                 0.9026,                0.90613,                 1.5759,              0.0008516,              0.0008516,              0.0008516
                    119,                 1.0727,                  1.056,                 1.7072,                0.93305,                0.86212,                0.93679,                0.69113,                0.95247,                 1.0151,                 1.6555,              0.0008417,              0.0008417,              0.0008417
                    120,                   1.24,                 1.2268,                 1.7393,                0.90042,                0.93814,                0.95206,                0.73657,                0.98203,                0.94349,                 1.6512,              0.0008318,              0.0008318,              0.0008318
                    121,                 1.1362,                 1.2126,                 1.8189,                0.92253,                0.85937,                0.94301,                0.74351,                0.96077,                0.90467,                  1.609,              0.0008219,              0.0008219,              0.0008219
                    122,                 1.0649,                 1.0124,                 1.7042,                0.92611,                0.90722,                0.94958,                0.78289,                0.85293,                0.80203,                 1.4887,               0.000812,               0.000812,               0.000812
                    123,                   1.05,                 1.0188,                 1.6573,                0.89082,                0.92527,                0.92896,                0.76706,                 0.7238,                0.81554,                 1.4632,              0.0008021,              0.0008021,              0.0008021
                    124,                 1.0369,                0.99379,                 1.6531,                0.84066,                0.94845,                0.91448,                0.76376,                0.68365,                0.84551,                 1.4365,              0.0007922,              0.0007922,              0.0007922
                    125,                 1.0548,                 1.0515,                 1.7091,                0.82323,                0.92784,                0.91896,                0.75042,                0.69019,                0.88723,                 1.4417,              0.0007823,              0.0007823,              0.0007823
                    126,                 1.0004,                 1.0657,                 1.6964,                0.90926,                0.92973,                0.96127,                0.78369,                0.68796,                0.86707,                 1.4285,              0.0007724,              0.0007724,              0.0007724
                    127,                 1.1724,                 0.9837,                 1.7965,                0.88139,                0.91935,                 0.9613,                0.78918,                0.67208,                0.85275,                 1.4158,              0.0007625,              0.0007625,              0.0007625
                    128,                 1.0118,                0.95347,                 1.5979,                0.89814,                0.89691,                0.94145,                0.77507,                0.71889,                 0.8504,                 1.4303,              0.0007526,              0.0007526,              0.0007526
                    129,                 0.9454,                 1.1357,                 1.5939,                0.87817,                0.89179,                0.93447,                0.77147,                0.71432,                0.84862,                 1.4501,              0.0007427,              0.0007427,              0.0007427
                    130,                  1.151,                  1.018,                  1.698,                0.83557,                0.89062,                0.91698,                0.76771,                0.71516,                0.85963,                 1.4643,              0.0007328,              0.0007328,              0.0007328
                    131,                0.93703,                0.93429,                 1.5639,                0.84737,                0.94845,                0.94385,                0.78645,                0.71936,                0.82957,                 1.4882,              0.0007229,              0.0007229,              0.0007229
                    132,                  1.042,                0.91593,                 1.6836,                0.89339,                0.96907,                0.96481,                0.80107,                0.71949,                0.79823,                 1.4351,               0.000713,               0.000713,               0.000713
                    133,                 1.1924,                 1.0576,                 1.7724,                0.90134,                0.94186,                 0.9657,                0.79739,                0.74294,                0.80696,                  1.426,              0.0007031,              0.0007031,              0.0007031
                    134,                 1.0189,                0.91668,                 1.6941,                0.89053,                0.94845,                0.94171,                0.76338,                0.80961,                0.92034,                 1.4442,              0.0006932,              0.0006932,              0.0006932
                    135,                 1.0453,                0.91984,                 1.6289,                 0.8645,                0.86598,                0.89783,                0.69362,                0.94467,                 1.0602,                 1.6001,              0.0006833,              0.0006833,              0.0006833
                    136,                 1.0074,                0.87421,                 1.6195,                 0.8484,                0.82474,                0.86529,                0.68411,                0.81452,                 1.0087,                 1.4844,              0.0006734,              0.0006734,              0.0006734
                    137,                0.93825,                0.80165,                 1.5238,                0.83048,                 0.8586,                0.88902,                0.72822,                0.74026,                0.90963,                 1.4269,              0.0006635,              0.0006635,              0.0006635
                    138,                 1.0651,                 1.4743,                 1.7623,                 0.8932,                0.94838,                0.93754,                0.80228,                0.67172,                0.76299,                   1.36,              0.0006536,              0.0006536,              0.0006536
                    139,                 0.9958,                0.87446,                 1.5784,                0.96712,                0.90964,                0.97801,                0.81681,                0.70942,                0.72851,                 1.3691,              0.0006437,              0.0006437,              0.0006437
                    140,                 1.2929,                 1.3784,                 1.8643,                0.95869,                0.95699,                0.97805,                0.82526,                0.69329,                0.73575,                 1.3615,              0.0006338,              0.0006338,              0.0006338
                    141,                0.95972,                0.89744,                 1.5824,                 0.9595,                0.97701,                0.97679,                0.83072,                 0.6604,                0.72512,                 1.3418,              0.0006239,              0.0006239,              0.0006239
                    142,                0.91917,                 0.8774,                 1.5682,                0.95825,                0.94639,                 0.9767,                0.84941,                0.63249,                 0.7234,                 1.3189,               0.000614,               0.000614,               0.000614
                    143,                 1.0004,                 0.8899,                 1.6006,                0.93923,                0.95602,                0.96258,                0.82408,                0.70752,                 0.7763,                 1.3544,              0.0006041,              0.0006041,              0.0006041
                    144,                 1.0804,                 1.0022,                  1.757,                0.92825,                0.93363,                 0.9528,                0.79311,                 0.7883,                0.77288,                 1.3825,              0.0005942,              0.0005942,              0.0005942
                    145,                 1.0822,                 1.3983,                 1.8403,                0.91155,                0.95625,                0.95118,                0.78221,                0.78672,                0.79671,                 1.3834,              0.0005843,              0.0005843,              0.0005843
                    146,                0.88324,                0.84899,                 1.5385,                 0.8593,                0.91753,                0.96157,                0.76499,                0.78756,                0.83282,                 1.3799,              0.0005744,              0.0005744,              0.0005744
                    147,                0.84037,                0.90959,                 1.4567,                0.89697,                0.90722,                0.96183,                0.77744,                0.80055,                0.87064,                 1.3527,              0.0005645,              0.0005645,              0.0005645
                    148,                 1.1705,                 1.6882,                 1.8577,                0.92346,                0.92784,                0.95012,                0.77137,                0.81118,                0.89727,                 1.3617,              0.0005546,              0.0005546,              0.0005546
                    149,                0.99106,                 1.3896,                 1.6209,                0.92903,                0.90722,                0.94747,                0.78124,                0.80619,                0.92674,                 1.3776,              0.0005447,              0.0005447,              0.0005447
